Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BERGEN SURGICAL SPEC IALISTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5,10
OCEAN RADIOLOGY ASSO CIATES,Medical,0,0,0,0,0,0,0,0,0,4,2,4,1,3,12,10
JERSEY SHORE SURGICA L GROUP,Medical,0,0,10,3,34,26,10,17,27,23,21,25,11,25,7,10
EMMAUS ANESTHESIA AS SOCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
"HEALTHCARE FUNDING S OLUTIONS,",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ADVANCED SURGERY CEN TER OF CL I,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
METRO ANESTHESIA CON SULTANTS,Medical,0,0,0,0,0,0,0,0,3,42,51,25,24,48,5,10
SHORE SURGICAL ASSIS TANT,Medical,0,0,0,0,0,0,0,0,0,0,0,6,0,1,9,10
ANI ORTHOPAEDICS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10
ORTHOPAEDIC SPORTS M EDICINE,Medical,1,0,0,0,1,0,3,0,1,2,1,0,2,0,0,10
ATLANTIC ORTHOPAEDIC ASSOCIAT E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
MEDICAL IMAGING CENT ER,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
SOUTHERN OCEAN COUNT Y HOSPITA L,Medical,11,7,9,2,0,0,18,1,0,1,0,0,0,2,2,9
NORTH JERSEY THORACI C SURGICA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,9
Colorado Capital,Debt Buyer,8,35,17,68,84,82,11,2,30,37,59,1,3385,570,361,9
HUNTERDON ENDOSURGER Y CENTER,Medical,0,0,0,0,0,0,0,0,0,1,0,2,1,2,8,9
MAGNETIC IMAGING OF MORRIS,Medical,7,4,5,1,7,8,7,5,6,0,2,4,10,13,8,9
Mainland Dental Assoc,Medical,4,1,0,0,0,7,18,9,3,2,2,4,0,1,4,9
ACTIVE ORTHOPAEDICS & SPORTS M,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9
METROPOLITAN MEDICAL ASSOCIAT E,Medical,0,0,0,0,2,2,4,1,0,0,1,1,0,0,4,9
MEDICAL HEALTH CENTE R,Medical,0,0,0,0,0,0,1,0,1,27,67,28,37,39,28,9
NEW CENTURY IMAGING LLC,Medical,0,0,0,0,0,0,0,0,0,7,38,32,35,33,73,9
RARITAN ANESTHESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
HACKETTSTOWN ANIMAL HOSPITAL,Misc,0,0,0,3,3,2,6,2,5,2,7,6,2,2,5,9
ADVANCED ANESTHESIA LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
VALLEY HEALTH MEDICA L GROUP,Medical,0,0,0,0,0,0,0,0,3,6,4,7,3,1,5,8
ADVANCED SURGICAL SO LUTIONS L L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,8
CARTERET COMPREHENSI VE MEDICA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,8
PREMIER ORTHOPAEDIC ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,8
SILVER DENTAL ASSOCI ATES,Medical,4,2,1,7,7,5,11,13,7,10,5,2,2,6,1,8
UNION MEDICAL LLC,Medical,0,0,0,0,0,0,1,3,25,1,3,1,32,11,0,8
ALPHA DENTAL ASSOCIA TES PA,Medical,4,3,2,10,9,6,0,0,3,2,2,2,5,0,2,8
Adamar of New Jersey,Casino,301,481,491,406,379,367,266,221,219,301,293,280,216,163,85,8
ADVANCED SURGERY CEN TER,Medical,0,0,0,0,0,0,0,0,0,0,0,8,8,5,29,8
LAKEWOOD SURGICAL GR OUP PA,Medical,1,2,0,1,1,1,1,1,0,1,1,1,3,2,4,8
L & K DENTAL PA,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
SPECIALTY SURGERY CE NTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
SURGICAL PATHOLOGY A SSOCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8
ABCO Federal Credit Union,Misc Lender,16,14,10,15,3,3,3,8,0,1,0,0,6,23,11,7
SYNERGY ANESTHESIA L LC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
UNIVERSITY ORTHOPAED IC ASSOC,Medical,1,0,0,3,4,0,0,0,0,0,0,0,0,0,4,7
RIDGEFIELDPARKANIMAL HOSPITAL,Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ATLANTIC AMBULATORY ANESTHESI A,Medical,0,0,0,0,0,0,0,2,4,2,3,3,20,15,64,7
SYNERGY ANESTHESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
DENVILLE DIAGNOSTICS IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,7
PULMONARY DIAGNOSTIC SERVICES,Medical,0,0,0,0,0,1,0,1,0,1,3,1,2,2,6,7
LOURDES ANESTHESIA A SSOC.,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SURGICAL SPECIALISTS OF NORTH,Medical,0,0,0,0,0,0,0,0,0,0,0,15,48,90,7,7
"EMPIRE MEDICAL ASSOC IATES, PC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
THE PLASTIC SURGERY CENTER PA,Medical,0,0,0,0,0,0,0,0,0,0,0,30,4,7,2,7
ATLANTIC SURGICAL GR OUP,Medical,8,9,21,4,5,10,8,4,12,5,3,1,2,3,10,7
MID ATLANTIC ORTHOPE DIC ASSOC,Medical,0,0,0,0,0,0,0,0,0,6,6,3,6,0,3,7
Division of Social Services,Government,43,298,203,76,6,3,3,4,20,0,18,5,1,0,0,7
ATLANTIC MEDICAL IMA GING,Medical,0,0,0,0,0,4,3,0,0,0,0,0,0,0,14,6
SOMERSET ORTHOPEDIC ASSOCIATE S,Medical,4,2,5,0,0,6,10,3,21,18,6,11,4,5,3,6
NCO Portfolio Management,Debt Buyer,2,0,0,6,73,396,867,1651,1627,2207,1271,1437,636,261,417,6
Orthopedic Inst of Central Jersey,Medical,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6
GARDEN STATE MAGNETI C IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
JAMES STREET ANESTHE SIA ASSOC I,Medical,0,0,0,0,0,0,0,4,23,30,74,10,40,3,0,6
COLUMBIA ANESTHESIA ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6
HUNTERDON RADIOLOGIC AL ASSOCI,Medical,0,0,1,1,0,1,0,0,0,0,0,0,0,2,3,6
"RARITAN ANESTHESIA A SSOCIATES ,",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6
"AVENEL-ISELIN MEDICA L GROUP, P",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6
ORTHOPEDIC ASSOCIATE S OF CENT R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,6
NW SURGICAL ASSOCIAT ES,Medical,0,0,0,0,0,0,0,1,2,4,1,1,7,2,0,6
"ESSEX SURGICAL, LLC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"ARCADIAN HEALTHCARE, INC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
MIDDLESEX SURGERY CE NTER,Medical,0,0,0,0,0,0,0,0,0,0,0,4,13,17,17,6
MEDICALBILLINGACCRED ITATION,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
GENERAL SURGERY PRAC TICE OF N O,Medical,0,1,0,3,2,2,0,3,0,0,1,1,0,0,3,6
SURGICARE OF CENTRAL JERSEY,Medical,4,5,7,2,5,3,1,3,5,2,3,1,4,3,2,6
CENTER OF DENTAL SER VICE,Medical,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,5
HAND SURGERY SPECIAL ISTS,Medical,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5
MEMORIAL RADIOLOGY A SSOCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5
"ATRIUM SURGERY CENTE R, INC",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
COOPER HOSPITAL UMC,Medical,0,1,0,0,0,0,9,10,14,1,0,0,0,0,2,5
VIRTUA SURGICAL GROU P P A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
HEALTHCARE FUNDING S OLUTIONS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,5
RAINBOW KIDS DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,5
SPINE SURGERY ASSOCI ATES MD P C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,5
RANDOLPH DENTAL CARE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5
KIMBA MEDICAL SUPPLY LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ADVANCED ORTHOPAEDIC CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
Comcast,Utility,459,528,250,212,31,5,5,0,7,6,26,6,12,10,5,5
EAST COAST MEDICAL L LC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HUDSON SURGICAL GROU P PC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5
ALLIED MEDICAL & DIA GNOSTIC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
RIDGEFIELD MEDICAL A SSOCIATES,Medical,0,0,0,0,0,0,9,4,7,3,1,5,13,2,0,5
WATCHUNG DENTAL CARE PC,Medical,0,0,0,0,0,0,0,0,0,0,7,4,5,7,4,5
RANDOLPH ORAL SURGER Y,Medical,0,0,0,0,0,0,0,0,0,1,8,3,0,0,6,5
SPARTA ANESTHESIA AS SOC.,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,5
MERCER BUCKS ORTHOPA EDICS,Medical,0,0,1,0,0,0,0,0,1,6,4,1,6,1,2,5
GARDEN STATE SURGICA L ASSOCIA T,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
ELICE DENTAL CARE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
MID-ATLANTICSURGICAL ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
NORTH JERSEY DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
HACKETTSTOWN ORTHOPA EDIC GROU P,Medical,0,0,1,1,0,0,0,1,1,3,2,2,2,0,1,5
THE IMAGING CENTER A T MONTVIL L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5
BERGENSURGICALSPECIA LISTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5
ENGLEWOOD SURGICAL A SSOCIATES,Medical,0,1,0,0,0,0,0,0,0,0,0,5,3,3,7,5
KAREL RASKA MD - MOD ERN DIAGN O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
ANESTHESIA ASSOCIATE S OF ESSE X,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5
MONTCLAIR RADIOLOGY,Medical,0,0,0,0,0,0,5,6,7,3,3,0,2,2,6,4
COASTAL MEDICAL PROD UCTS LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
WOMEN'S HEALTHCARE O F UNION C O,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"CHANTILLY DENTAL GRO UP, LLC D B",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
NORTHERN ANESTHESIA PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,18,11,4
LAWRENCEVILLE ORAL & MAXILLOF A,Medical,0,0,0,0,0,0,0,0,0,0,10,17,13,0,9,4
BRIGHTER DENTAL CARE CLEMENTO N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PEDIATRIC DENTAL ART S OF NEW J,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OCEAN SURGICAL ONCOL OGY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
MORRIS COUNTY ORTHOP AEDIC GRO U,Medical,0,0,0,0,0,0,3,32,22,21,14,15,10,10,7,4
"RAHWAY ANESTHESIOLOG ISTS, PA",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
ATLANTIC SURGICAL GROUP,Medical,2,0,0,3,0,0,0,1,1,0,0,3,0,0,1,4
PARSIPPANY DENTAL CA RE,Medical,0,0,0,0,3,10,0,1,0,1,0,0,1,1,23,4
GARDEN STATE DENTAL ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4
PRN SURGICAL ASSISTA NCE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
"AMERICAN DENTAL CENT ER, LLC",Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,4
PARKWAY DENTAL SERVI CES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
TRINITAS DIAGNOSTIC IMAGING,Medical,0,0,0,0,1,1,0,0,0,0,0,0,7,70,0,4
ANESTHESIA & PAIN MA NAGEMENT G,Medical,0,0,0,0,0,0,0,0,0,0,0,30,113,25,2,4
UNIVERSITY MEDICAL G ROUP OF,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
HOLDBROOK PEDIATRIC DENTAL LL C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
ST PETERS UNIVERSITY HOSPITAL,Medical,0,0,0,0,9,26,69,55,71,26,12,0,11,62,64,4
VIRTUA SURGICAL GROUP PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SHREWSBURY SURGERY C ENTER LLC,Medical,0,0,0,0,0,0,0,6,11,4,10,9,7,11,15,4
GARDEN STATE SURGICA L ASSOC P A,Medical,0,0,0,0,5,15,8,2,2,3,2,1,5,1,1,4
MEDICAL CARE INSTITU TE PA,Medical,0,0,0,0,0,0,1,0,0,0,0,4,20,1,1,4
ALPHA DENTAL ASSOCIA TES,Medical,2,1,1,11,1,2,11,14,6,8,8,9,6,7,3,4
PALISADES SURGICAL A SSOCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
"PREMIER ORAL SURGICA L GROUP, P",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CENTER FOR ADVANCED SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4
MODERN DIAGNOSTIC PA THOLOGY,Medical,0,0,0,0,0,0,1,0,0,0,1,1,0,4,4,4
CENTRAL JERSEY AMBUL ATORY SUR G,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4
Capital Collection Service,Collection Agency,522,422,269,192,184,88,68,72,115,56,64,29,14,9,1,4
SLEEP DIAGNOSTICS OF NJ INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4
MEADOWS SURGERY CENT ER LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
ORTHOPAEDIC SURGERY TRAUMA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
LIVINGSTON DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CARTERET COMPREHENSI MEDICAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
MID-ATLANTIC SURGICA L ASSOC.,Medical,0,0,0,0,0,2,0,0,0,3,1,0,0,0,2,4
BEACH BUDDIES ANIMAL HOSPITAL,Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SURGICAL ASSOCIATES OF CENTRA L,Medical,0,0,0,0,1,7,6,2,4,1,2,6,9,5,14,4
Credit One,Misc Lender,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,4
PREMIER MEDICAL LAB,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bayonne Medical Center,Medical,105,167,43,74,95,138,168,80,112,192,185,83,68,25,25,4
STAFFORD ORTHOPEDICS P A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ORTHOPAEDIC ASSOCIAT ES,Medical,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4
COMPREHENSIVE MEDICA L DIAGNOS T,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MEDICAL DIAGNOSTIC A SSOCIATES,Medical,3,4,8,26,7,5,16,5,13,8,1,4,5,3,8,4
SURGASSIST SURGICAL LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,4
G F H SURGICAL ASSOC PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FEILER DENTAL ASSOCI ATES LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
LOURDES ANESTHESIA A SSOCIATES,Medical,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,3
CHERRY HILL ORTHOPED IC SURGEO N,Medical,11,8,4,12,7,2,8,6,9,5,5,6,4,8,7,3
AFFILIATEDORTHOPAEDI CSPECIAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
REGIONAL SURGICAL AS SOCIATES,Medical,0,0,0,0,0,0,0,0,3,5,1,0,1,0,1,3
OCEAN SURGICAL ONCOL OGY ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ADVANCED ORTHOPEDIC & SPORTS M,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
HUNTERDON RADIOLOGIC AL ASSO,Medical,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3
LENOX HILL ANESTHESI OLOGY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3
HSBC,Major Bank,0,0,0,7,22,28,24,15,18,257,594,1228,1803,2189,2770,3
CENTRASTATE MEDICAL CTR,Medical,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
GMS ANESTHESIA ASSOC IATES,Medical,1,28,0,8,3,10,5,11,4,3,0,8,0,8,3,3
SOUTH JERSEY ANESTHE SIA,Medical,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3
NORTH JERSEY DIAGNOS TIC CTR,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
REGIONAL SURGICAL AS SOC,Medical,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3
BRIGHTER DENTAL CARE ROBBINSVI L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
COMPREHENSIVE SURGIC AL ASSOCI A,Medical,0,0,0,0,0,0,0,1,2,1,3,1,1,2,0,3
THE FAMILY MEDICAL C ENTER,Medical,0,0,0,1,1,2,1,4,0,2,3,1,1,0,0,3
SHREWSBURY SURGERY CENTER,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
WEST PATERSON DENTAL ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
COMMUNITY DENTAL INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3
MUHLENBERG MEDICAL C TR SOLARI S,Medical,0,0,0,0,0,0,0,0,2,60,104,127,131,73,13,3
JFK DENTAL CLINIC OF SOLARIS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALL CITY DENTAL SERV ICES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
KRUEGER AND PASCUAL SURGICAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
FORDS FAMILY DENTAL CARE LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"STAFFORD ORTHOPEDICS , P.A.",Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
"ADVANCED SURGICAL SO LUTIONS, L",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
ADVANCED SURGICAL AR TS CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
THE PLASTIC SURGERY CENTER,Medical,0,0,0,0,0,5,4,0,7,2,2,22,44,16,3,3
OCEAN ORTHOPEDIC ASS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ANESTHESIA PAIN,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AESTHETIC DENTAL GRO UP OF NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
GOTHAM CITY ORTHOPED ICS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
SEASHORE AMBULATORY SURGERY C E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
MIDJERSEY ANESTHESIA ASSOCIAT E,Medical,0,0,0,0,0,0,0,3,7,6,29,35,49,19,3,3
GFMH SURGICAL ASS OC PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SILVER LAKE MEDICAL PC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
ORTHOPEDIC SPECIALIS TS OF NJ,Medical,0,0,0,0,0,0,2,4,6,2,5,5,10,11,6,3
COSMOPOLITAN DENTAL LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BRICKTOWN VETERINARY HOSPITAL,Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
RIDGEWOOD VETERINARY HOSPITAL,Misc,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
CAPE REGIONAL MEDICA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MELEIS MEDICAL ASSOC IATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
RIDGEDALE SURGERY CE NTER,Medical,1,1,0,0,0,0,5,0,0,0,0,0,9,17,9,3
CARING DENTAL ASSOC,Medical,0,0,0,2,0,0,0,1,1,1,2,0,1,0,0,3
MILLENNIUM SURGICAL CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RIDGEWOOD DENTAL GRO UP LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
SURGICAL SERVICES OF SOUTH JE R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,3
COLUMBIA ANESTHESIA/ PAIN ASSO C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
L K DENTAL PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"THE PLASTIC SURGERY GROUP, P. A",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
IMAGING CENTER AT MO RRISTOWN,Medical,0,0,1,0,0,0,4,0,0,0,0,0,0,0,6,3
CHILTON HOSPITALIST PHYSICIAN S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
PROFESSIONAL SURGICA L SERVICE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
GASTRO SURGICENTER O F NJ,Medical,0,0,0,0,0,0,7,4,15,16,28,12,5,10,10,3
VIRTUA SURGICAL GROU P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3
Essex Ironbound Anestheologist,Medical,0,0,0,0,0,0,0,0,52,74,88,378,203,225,16,3
MEDICAL CARE CENTER PC,Medical,0,0,6,5,0,0,3,0,1,0,1,1,0,1,2,3
SUMMIT OAKS HOSPITAL,Medical,0,0,0,0,0,0,0,0,0,0,9,41,49,1,0,3
PLATONI SURGICAL ASS T LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PEDIATRIC SURGICAL A SSOCIATES,Medical,0,0,1,0,0,1,0,0,0,2,1,0,18,0,6,3
BIOSOUND MEDICAL SER VICE INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TOMSRIVERSURGERYCENT ER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
CARDIOTHORACIC ANEST HESIA GRO,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
MERCER BUCKS ORTHOPA EDICS PC,Medical,0,0,0,0,0,0,0,0,0,3,2,4,3,2,3,3
TOMS RIVER SURGERY C ENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
"HAMBURG MEDICAL ASSO CIATES, P C",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
ORTHOPEDIC SPECIALIS TS OF NJP A,Medical,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,2
HUNTERDON RADIOLOGIC AL ASSOC P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
WOMEN'S DIAGNOSTIC C ENTER,Medical,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2
EMMAUS ANESTHESIA ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEDICAL CENTER OF PR INCETON,Medical,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
DEDICATED DENTALCARE SERVICES,Medical,2,2,1,2,3,6,1,0,0,8,2,4,3,0,1,2
AMBULATORY ANESTHESI PHYSICIAN S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PARAMUS SURGICAL CEN TER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2
MID-ATLANTIC SURGICA L ASSOC,Medical,4,4,2,1,1,6,2,4,13,2,6,1,3,10,14,2
HADDON SURGICAL ASSO C PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COHANZICK ORTHOPEDIC S PA,Medical,0,0,0,0,2,3,1,2,1,2,3,1,2,5,2,2
MARKET STREET SURGIC AL CENTER L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Advanced Radiology,Medical,0,0,0,0,0,0,0,0,25,1,1,184,302,47,7,2
WESTCHESTER MEDICAL CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
PRINCETON MEDICAL GR OUP,Medical,0,9,7,11,5,5,17,27,6,5,6,0,0,9,6,2
POWERSSTREETORTHOPAE DIC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
DENTAL DELIVERY SYST EMS,Medical,4,0,0,2,0,2,0,1,0,2,0,2,0,2,5,2
BLACK HORSE ANIMAL HOSPITAL,Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RAMAPO ORAL SURGERY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2
PEDIMEDICA PA,Medical,0,0,0,0,0,0,0,7,19,3,0,0,0,5,15,2
BAYSHORE DENTAL ARTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEDICUS MEDICAL ASSO C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
JC DENTAL LLC,Medical,0,0,0,0,0,0,0,4,3,1,4,3,4,0,2,2
FROST DENTAL GROUP,Medical,0,0,0,0,0,0,0,0,0,0,0,2,8,6,0,2
Marlin Leasing Corp,Misc Lender,0,0,0,1,73,213,348,366,287,248,226,122,84,79,15,2
SILVERTON MEDICAL CE NTER PC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASSOCIATED DENTAL EL IZABETH,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UROLOGICAL SURGICAL ASSOCIATE S,Medical,27,9,3,0,1,5,2,3,2,2,7,4,5,3,10,2
